data_add	title	abstract	Publication date	doi	source_link
2020-04-15	'Weakly Supervised Deep Learning for COVID-19 Infection Detection and\n  Classification from CT Images'	'  An outbreak of a novel coronavirus disease (i.e., COVID-19) has been recorded\nin Wuhan, China since late December 2019, which subsequently became pandemic\naround the world. Although COVID-19 is an acutely treated disease, it can also\nbe fatal with a risk of fatality of 4.03% in China and the highest of 13.04% in\nAlgeria and 12.67% Italy (as of 8th April 2020). The onset of serious illness\nmay result in death as a consequence of substantial alveolar damage and\nprogressive respiratory failure. Although laboratory testing, e.g., using\nreverse transcription polymerase chain reaction (RT-PCR), is the golden\nstandard for clinical diagnosis, the tests may produce false negatives.\nMoreover, under the pandemic situation, shortage of RT-PCR testing resources\nmay also delay the following clinical decision and treatment. Under such\ncircumstances, chest CT imaging has become a valuable tool for both diagnosis\nand prognosis of COVID-19 patients. In this study, we propose a weakly\nsupervised deep learning strategy for detecting and classifying COVID-19\ninfection from CT images. The proposed method can minimise the requirements of\nmanual labelling of CT images but still be able to obtain accurate infection\ndetection and distinguish COVID-19 from non-COVID-19 cases. Based on the\npromising results obtained qualitatively and quantitatively, we can envisage a\nwide deployment of our developed technique in large-scale clinical studies.\n'	2020-04-14T17:45:03Z	None	http://arxiv.org/abs/2004.06689v1
2020-04-15	'An automatic COVID-19 CT segmentation based on U-Net with attention\n  mechanism'	'  The coronavirus disease (COVID-19) pandemic has led a devastating effect on\nthe global public health. Computed Tomography (CT) is an effective tool in the\nscreening of COVID-19. It is of great importance to rapidly and accurately\nsegment COVID-19 from CT to help diagnostic and patient monitoring. In this\npaper, we propose a U-Net based segmentation network using attention mechanism.\nAs not all the features extracted from the encoders are useful for\nsegmentation, we propose to incorporate an attention mechanism to a U-Net\narchitecture to capture rich contextual relationships for better feature\nrepresentations. In addition, the focal tversky loss is introduced to deal with\nsmall lesion segmentation. The experiment results, evaluated on a small dataset\nwhere only 100 CT slices are available, demonstrate the proposed method can\nachieve an accurate and rapid segmentation on COVID-19 segmentation. The\nobtained Dice Score, Sensitivity and Specificity are 69.1%, 81.1%, and 97.2%,\nrespectively.\n'	2020-04-14T17:21:11Z	None	http://arxiv.org/abs/2004.06673v1
2020-04-15	'Abrupt declines in tropospheric nitrogen dioxide over China after the\n  outbreak of COVID-19'	"  China's policy interventions to reduce the spread of the coronavirus disease\n2019 have environmental and economic impacts. Tropospheric nitrogen dioxide\nindicates economic activities, as nitrogen dioxide is primarily emitted from\nfossil fuel consumption. Satellite measurements show a 48% drop in tropospheric\nnitrogen dioxide vertical column densities from the 20 days averaged before the\n2020 Lunar New Year to the 20 days averaged after. This is 20% larger than that\nfrom recent years. We relate to this reduction to two of the government's\nactions: the announcement of the first report in each province and the date of\na province's lockdown. Both actions are associated with nearly the same\nmagnitude of reductions. Our analysis offers insights into the unintended\nenvironmental and economic consequences through reduced economic activities.\n"	2020-04-14T14:20:31Z	None	http://arxiv.org/abs/2004.06542v1
2020-04-15	'CoroNet: A Deep Neural Network for Detection and Diagnosis of Covid-19\n  from Chest X-ray Images'	'  The novel Coronavirus also called Covid-19 originated in Wuhan, China in\nDecember 2019 and has now spread across the world. It has so far infected\naround 1.8 million people and claimed approximately 114698 lives overall. As\nthe number of cases are rapidly increasing, most of the countries are facing\nshortage of testing kits and resources. The limited quantity of testing kits\nand increasing number of daily cases encouraged us to come up with a Deep\nLearning model that can aid radiologists and clinicians in detecting Covid-19\ncases using chest X-rays. Therefore, in this study, we propose CoroNet, a Deep\nConvolutional Neural Network model to automatically detect Covid-19 infection\nfrom chest X-ray images. The deep model called CoroNet has been trained and\ntested on a dataset prepared by collecting Covid-19 and other chest pneumonia\nX-ray images from two different publically available databases. The\nexperimental results show that our proposed model achieved an overall accuracy\nof 89.5%, and more importantly the precision and recall rate for Covid-19 cases\nare 97% and 100%. The preliminary results of this study look promising which\ncan be further improved as more training data becomes available. Overall, the\nproposed model substantially advances the current radiology based methodology\nand during Covid-19 pandemic, it can be very helpful tool for clinical\npractitioners and radiologists to aid them in diagnosis, quantification and\nfollow-up of Covid-19 cases.\n'	2020-04-14T13:48:04Z	None	http://arxiv.org/abs/2004.04931v2
2020-04-15	'Molecular docking and binding mode analysis of selected FDA approved\n  drugs against COVID-19 selected key protein targets: An effort towards drug\n  repurposing to identify the combination therapy to combat COVID-19'	'  The emergence of COVID-19 has severely compromised the arsenal of antiviral\nand antibiotic drugs. Drug discovery is a multistep process with a high failure\nrate, high cost and it takes approximately 10-12 years for the development of\nnew molecules into the clinical candidate. On the other side, drug repurposing\nalso called old drugs for new uses, is an attractive alternative approach for a\nnew application of marketed FDA approved or investigational drugs. In the\ncurrent pandemic situation raised due to COVID-19, repurposing of existing FDA\napproved drugs are emerging as the first line of the treatment. The causative\nviral agent of this highly contagious disease and acute respiratory syndrome\ncoronavirus (SARS-CoV) shares high nucleotide similarity. Therefore, many\nexisting viral targets are structurally expected to be similar to SARS-CoV and\nlikely to be inhibited by the same compounds. Here, we selected three viral key\nproteins based on their vital role in viral life cycle: ACE2 (helps in entry\ninto the human host), viral nonstructural proteins RNA-dependent RNA polymerase\n(RdRp) NSP12, and NSP16 which helps in replication, and viral latency (invasion\nfrom immunity). The FDA approved drugs chloroquine (CQ), hydroxychloroquine\n(HCQ), remdesivir (RDV) and arbidol (ABD) are emerging as promising agents to\ncombat COVID-19. Our hypothesis behind the docking studies is to determine the\nbinding affinities of these drugs and identify the key amino acid residues\nplaying a key role in their mechanism of action. The docking studies were\ncarried out through Autodock and online COVID-19 docking server. Further\nstudies on a broad range of FDA approved drugs including few more protein\ntargets, molecular dynamics studies, in-vitro and in-vivo biological evaluation\nare required to identify the combination therapy targeting various stages of\nthe viral life cycle.\n'	2020-04-14T12:31:13Z	None	http://arxiv.org/abs/2004.06447v1
2020-04-15	'A simulation of a COVID-19 epidemic based on a deterministic SEIR model'	'  An epidemic disease caused by a new coronavirus has spread in Northern Italy\nwith a strong contagion rate. We implement an SEIR model to compute the\ninfected population and number of casualties of this epidemic. The example may\nideally regard the situation in the Italian Region of Lombardy, where the\nepidemic started on February 25, but by no means attempts to perform a rigorous\ncase study in view of the lack of suitable data and uncertainty of the\ndifferent parameters, mainly the variation of the degree of home isolation and\nsocial distancing as a function of time, the number of initially exposed\nindividuals and infected people and the infection, recovery and fatality rates.\nFirst, we perform an analysis of the results of the model, by varying the\nparameters and initial conditions. Then, we consider the Lombardy case and\ncalibrate the model with the number of dead individuals to date (April 14,\n2020) and constraint the parameters on the basis of values reported in the\nliterature. The peak occurs at day 37 (April 1), when there is a rapid\ndecrease, with a reproduction ratio R0 = 2.80 initially, 1.95 at day 22 and\n0.97 after day 35, indicating different degrees of lockdown. The number of\nfatalities amounts to approximately 12000 at the end of the epidemic. The\nincubation period providing a better fit of the dead individuals is 5.2 days\nand the infection period is 3.7 days, with a fatality rate of 0.00053/day\n[values based on the reported (official) number of casualties]. The case\nfatality rate (CFR) is 0.2 % (0.45 % if twice the reported number of casualties\nis assumed). If we use a wider range for the constraints, we obtain ca. 13 days\nand 5.53 days for the incubation and recovery periods, respectively, and a\nhigher CFR, ca. 0.6 %. These values become ca. 9 days, 7.6 days and 1.2 %\nassuming two times more casualties.\n'	2020-04-14T09:17:58Z	None	http://arxiv.org/abs/2004.03575v4
2020-04-15	'Sense and Sensibility: Characterizing Social Media Users Regarding the\n  Use of Controversial Terms for COVID-19'	'  With the world-wide development of 2019 novel coronavirus, although WHO has\nofficially announced the disease as COVID-19, one controversial term - "Chinese\nVirus" is still being used by a great number of people. In the meantime, global\nonline media coverage about COVID-19-related racial attacks increases steadily,\nmost of which are anti-Chinese or anti-Asian. As this pandemic becomes\nincreasingly severe, more people start to talk about it on social media\nplatforms such as Twitter. When they refer to COVID-19, there are mainly two\nways: using controversial terms like "Chinese Virus" or "Wuhan Virus", or using\nnon-controversial terms like "Coronavirus". In this study, we attempt to\ncharacterize the Twitter users who use controversial terms and those who use\nnon-controversial terms. We use the Tweepy API to retrieve 17 million related\ntweets and the information of their authors. We find significant differences\nbetween these two groups of Twitter users across their demographics, user-level\nfeatures like the number of followers, political following status, as well as\ntheir geo-locations. Moreover, we apply classification models to predict\nTwitter users who are more likely to use controversial terms. To our best\nknowledge, this is the first large-scale social media-based study to\ncharacterize users with respect to their usage of controversial terms during a\nmajor crisis.\n'	2020-04-14T05:27:55Z	None	http://arxiv.org/abs/2004.06307v1
2020-04-15	'Group Testing for COVID-19: How to Stop Worrying and Test More'	'  The corona virus disease 2019 (COVID-19) caused by the novel corona virus has\nan exponential rate of infection. COVID-19 is particularly notorious as the\nonset of symptoms in infected patients are usually delayed and there exists a\nlarge number of asymptomatic carriers. In order to prevent overwhelming of\nmedical facilities and large fatality rate, early stage testing and diagnosis\nare key requirements. In this article, we discuss the methodologies from the\ngroup testing literature and its relevance to COVID-19 diagnosis. Specifically,\nwe investigate the efficiency of group testing using polymerase chain reaction\n(PCR) for COVID-19. Group testing is a method in which multiple samples are\npooled together in groups and fewer tests are performed tests on these groups\nto discern all the infected samples. We study the effect of dilution due to\npooling in group testing and show that group tests can perform well even in the\npresence of dilution effects. We present multiple group testing algorithms that\ncould reduce the number of tests performed for COVID-19 diagnosis. We analyze\nthe efficiency of these tests and provide insights on their practical\nrelevance. With the use of algorithms described here, test plans can be\ndeveloped that can enable testing centers to increase the number of diagnosis\nperformed without increasing the number of PCR tests. The codes for generating\ntest plans are available online at [1].\n'	2020-04-14T05:27:12Z	None	http://arxiv.org/abs/2004.06306v1
2020-04-15	'Modeling, state estimation, and optimal control for the US COVID-19\n  outbreak'	'  The novel coronavirus SARS-CoV-2 and resulting COVID-19 disease have had an\nunprecedented spread and continue to cause a increasing number of fatalities\nworldwide. While vaccines are still under development, social distancing,\nextensive testing, and quarantine of confirmed infected subjects remain the\nmost effective measures to contain the pandemic. These measures carry a\nsignificant socioeconomic cost. In this work, we introduce a novel\noptimization-based decision-making framework for managing the COVID-19 outbreak\nin the US. This includes modeling the dynamics of affected populations,\nestimating the model parameters and hidden states from data, and an optimal\ncontrol strategy for sequencing social distancing and testing events such that\nthe number of infections is minimized. The analysis of our extensive\ncomputational efforts reveals that social distancing and quarantining are most\neffective when implemented early, with quarantining of confirmed infected\nsubjects having a much higher impact. Further, we find that "on-off" policies\nalternating between strict social distancing and relaxing such restrictions can\nbe effective at "flattening" the curve while likely minimizing social and\neconomic cost.\n'	2020-04-14T03:44:11Z	None	http://arxiv.org/abs/2004.06291v1
2020-04-15	'Using altmetrics for detecting impactful research in quasi-zero-day\n  time-windows: the case of COVID-19'	'  On December 31st 2019, the World Health Organization (WHO) China Country\nOffice was informed of cases of pneumonia of unknown etiology detected in Wuhan\nCity. The cause of the syndrome was a new type of coronavirus isolated on\nJanuary 7th 2020 and named Severe Acute Respiratory Syndrome CoronaVirus 2\n(SARS-CoV-2). SARS-CoV-2 is the cause of the coronavirus disease 2019\n(COVID-19). Since January 2020 an ever increasing number of scientific works\nhave appeared in literature. Identifying relevant research outcomes at very\nearly stages is challenging.In this work we use COVID-19 as a use-case for\ninvestigating: (i) which toos and frameworkds are mostly used for early\nscholarly communication; (ii) to what extent altmetrics can be used to identify\npotential impactful research in tight (i.e. {\\em quasi-zero-day}) time-windows.\nA literature review with rigorous eligibility criteria is performed for\ngathering a sample composed of scientific papers about SARS-CoV-2/COVID-19\nappeared in literature in the tight time-window ranging from January 15th 2020\nto February 24th 2020. This sample is used for building a knowledge graph that\nrepresents the knowledge about papers and indicators formally. This knowledge\ngraph feeds a data analysis process which is applied for experimenting with\naltmetrics as impact indicators. We find moderate correlation among traditional\ncitation count, citations on social media, and mentions on news and blogs. This\nsuggests there is a common intended meaning of the citational acts associated\nwith aforementioned indicators. Additionally, we define a method that\nharmonises different indicators for providing a multi-dimensional impact\nindicator.\n'	2020-04-13T20:04:41Z	None	http://arxiv.org/abs/2004.06179v1
