data_add	title	abstract	Publication date	doi	source_link
2020-04-26	'Ultrasonic studies in Tetra alkyl ammonium bromide solns in 10% (ww) 2-(ethoxy) ethanol-water mix. Acoustics letters 19(6)1995 .pdf'	'Ultrasonic velocities of Tetra alkyl ammonium salts Me<sub>4</sub>NBr, Et<sub>4</sub>NBr, Pr<sub>4</sub>NBr, Bu<sub>4</sub>NBr are measured at 30<sup>o</sup>C\n in 10%(w/w) 2 ethoxy ethanol water mixture. adiabatic and apparent \nmolar compressibilities are calculated.These are also divided into ionic\n contributions, show a dependency on size of ion.Apparent molar compressibilities lower than in pure water<br>'	2020-04-26T08:08:43Z	10.6084/m9.figshare.12196164.v1	https://figshare.com/articles/Ultrasonic_studies_in_Tetra_alkyl_ammonium_bromide_solns_in_10_ww_2-_ethoxy_ethanol-water_mix_Acoustics_letters_19_6_1995_pdf/12196164
2020-04-26	'Additional file 2 of Engineering of sugar transporters for improvement of xylose utilization during high-temperature alcoholic fermentation in Ogataea polymorpha yeast'	'Additional file 2: Table S1. List of primers used in this study.'	2020-04-26T03:55:11Z	10.6084/m9.figshare.12197541.v1	https://figshare.com/articles/Additional_file_2_of_Engineering_of_sugar_transporters_for_improvement_of_xylose_utilization_during_high-temperature_alcoholic_fermentation_in_Ogataea_polymorpha_yeast/12197541
2020-04-26	'Additional file 2 of Patient satisfaction with remote monitoring of cardiac implantable electronic devices: the Valiosa questionnaire'	'Additional file 2. VALIOSA Questionnaire, English version.'	2020-04-26T03:54:52Z	10.6084/m9.figshare.12197493.v1	https://figshare.com/articles/Additional_file_2_of_Patient_satisfaction_with_remote_monitoring_of_cardiac_implantable_electronic_devices_the_Valiosa_questionnaire/12197493
2020-04-26	'Additional file 2 of Mental distress, perceived need, and barriers to receive professional mental health care among university students in Ethiopia'	'Additional file 2. The association between demographic variables and common barriers to receive professional mental health care.'	2020-04-26T03:54:51Z	10.6084/m9.figshare.12197490.v1	https://figshare.com/articles/Additional_file_2_of_Mental_distress_perceived_need_and_barriers_to_receive_professional_mental_health_care_among_university_students_in_Ethiopia/12197490
2020-04-26	'Additional file 2 of Socioeconomic status and survival after stroke – using mediation and sensitivity analyses to assess the effect of stroke severity and unmeasured confounding'	'Additional file 2. R code.'	2020-04-26T03:54:37Z	10.6084/m9.figshare.12197445.v1	https://figshare.com/articles/Additional_file_2_of_Socioeconomic_status_and_survival_after_stroke_using_mediation_and_sensitivity_analyses_to_assess_the_effect_of_stroke_severity_and_unmeasured_confounding/12197445
2020-04-26	'Additional file 2 of An observational study of system-level changes to improve the recording of very brief advice for smoking cessation in an inpatient mental health setting'	'Additional file 2.'	2020-04-26T03:54:32Z	10.6084/m9.figshare.12197424.v1	https://figshare.com/articles/Additional_file_2_of_An_observational_study_of_system-level_changes_to_improve_the_recording_of_very_brief_advice_for_smoking_cessation_in_an_inpatient_mental_health_setting/12197424
2020-04-26	'Additional file 2 of The association between psychological characteristics and physical activity levels in people with knee osteoarthritis: a cross-sectional analysis'	'Additional file 2. Scatter plots for number of steps per day and psychological characteristics'	2020-04-26T03:54:25Z	10.6084/m9.figshare.12197406.v1	https://figshare.com/articles/Additional_file_2_of_The_association_between_psychological_characteristics_and_physical_activity_levels_in_people_with_knee_osteoarthritis_a_cross-sectional_analysis/12197406
2020-04-26	'Additional file 2 of Effects of iron chelation therapy on the clinical course of aceruloplasminemia: an analysis of aggregated case reports'	'Additional file 2. Qualitative assessment of brain iron by T2-weighted MRI at 1.5\u2009T in case 1.'	2020-04-26T03:54:20Z	10.6084/m9.figshare.12197385.v1	https://figshare.com/articles/Additional_file_2_of_Effects_of_iron_chelation_therapy_on_the_clinical_course_of_aceruloplasminemia_an_analysis_of_aggregated_case_reports/12197385
2020-04-26	'Additional file 2 of Contrast diversity patterns and processes of microbial community assembly in a river-lake continuum across a catchment scale in northwestern China'	'Additional file 2: Fig. S2. Rarefaction curves of species richness along the percentage of normalized reads based on the smallest sample (23,965 reads) for samples in the upstream tributaries, the Kaidu River and Lake Bosten. Each vertical bar represents standard error. The curves reach saturation stage with increasing sequencing depth, indicating that the population capture most microbial (bacteria and archaea) members from each sampling type.'	2020-04-26T03:54:14Z	10.6084/m9.figshare.12197361.v1	https://figshare.com/articles/Additional_file_2_of_Contrast_diversity_patterns_and_processes_of_microbial_community_assembly_in_a_river-lake_continuum_across_a_catchment_scale_in_northwestern_China/12197361
2020-04-26	'Additional file 2 of Barriers and facilitators to implementation of epilepsy self-management programs: a systematic review using qualitative evidence synthesis methods'	'Additional file 2. Search Strategy'	2020-04-26T03:54:12Z	10.6084/m9.figshare.12197352.v1	https://figshare.com/articles/Additional_file_2_of_Barriers_and_facilitators_to_implementation_of_epilepsy_self-management_programs_a_systematic_review_using_qualitative_evidence_synthesis_methods/12197352
